"Part";"Value";"Device";"Package";"Description";"FARNELLNRO";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"SPICEPREFIX";
"ARDUINO_DUE1";"";"ARDUINO_DUE_SHIELD";"ARDUINO_DUE_SHIELD";"";"";"";"";"";"";"";"";
"C1";"10uF";"C-EUC3216";"C3216";"CAPACITOR, European symbol";"";"";"";"";"";"4";"C";
"F1";"3A";"SH22,5";"SH22,5";"FUSE HOLDER grid 22,5 mm, OGN0031 8201, Schurter (Buerklin)";"";"SCHURTER";"0031.8201";"1162740";"96F8317";"6";"";
"IC1";"74HC4052DD";"74HC4052DD";"SO16";"Dual 4-channel ANALOG MULTIPLEXER";"74HC4052D,653";"";"";"";"";"1";"";
"IC2";"74HC4052DD";"74HC4052DD";"SO16";"Dual 4-channel ANALOG MULTIPLEXER";"74HC4052D,653";"";"";"";"";"1";"";
"J1";"0022232041";"22-27-2041-04";"6410-04";"CONNECTOR";"";"MOLEX";"";"unknown";"unknown";"0";"";
"JP1";"";"PINHD-1X20";"1X20";"PIN HEADER";"";"";"";"";"";"";"";
"JP2";"";"PINHD-1X3";"1X03";"PIN HEADER";"";"";"";"";"";"";"";
"JP3";"";"PINHD-1X6";"1X06";"PIN HEADER";"";"";"";"";"";"";"";
"Q1";"BUK98150";"BUK98150";"SOT223";"BUK98150-55A/CUF N-Channel MOSFET";"NDT3055";"";"";"";"";"";"";
"Q2";"BUK98150";"BUK98150";"SOT223";"BUK98150-55A/CUF N-Channel MOSFET";"NDT3055";"";"";"";"";"";"";
"Q3";"BUK98150";"BUK98150";"SOT223";"BUK98150-55A/CUF N-Channel MOSFET";"NDT3055";"";"";"";"";"";"";
"Q4";"IRFR9120NTRLPBF";"IRFR9120NTRLPBF";"D-PAK_TO252AA";"IRFR9120NTRLPBF P-CHANNELL MOSFET";"";"";"";"";"";"";"";
"Q5";"IRFR9120NTRLPBF";"IRFR9120NTRLPBF";"D-PAK_TO252AA";"IRFR9120NTRLPBF P-CHANNELL MOSFET";"";"";"";"";"";"";"";
"Q6";"DMP6185SE-13";"DMP6185SE-13";"SOT223";"DMP6185SE-13 P-CHANNEL MOSFET";"";"";"";"";"";"";"";
"Q7";"DMP6185SE-13";"DMP6185SE-13";"SOT223";"DMP6185SE-13 P-CHANNEL MOSFET";"";"";"";"";"";"";"";
"Q8";"BUK98150";"BUK98150";"SOT223";"BUK98150-55A/CUF N-Channel MOSFET";"NDT3055";"";"";"";"";"";"";
"Q9";"BUK98150";"BUK98150";"SOT223";"BUK98150-55A/CUF N-Channel MOSFET";"NDT3055";"";"";"";"";"";"";
"Q10";"IRFR9120NTRLPBF";"IRFR9120NTRLPBF";"D-PAK_TO252AA";"IRFR9120NTRLPBF P-CHANNELL MOSFET";"";"";"";"";"";"";"";
"Q11";"IRFR9120NTRLPBF";"IRFR9120NTRLPBF";"D-PAK_TO252AA";"IRFR9120NTRLPBF P-CHANNELL MOSFET";"";"";"";"";"";"";"";
"Q12";"DMP6185SE-13";"DMP6185SE-13";"SOT223";"DMP6185SE-13 P-CHANNEL MOSFET";"";"";"";"";"";"";"";
"Q13";"DMP6185SE-13";"DMP6185SE-13";"SOT223";"DMP6185SE-13 P-CHANNEL MOSFET";"";"";"";"";"";"";"";
"Q14";"BUK98150";"BUK98150";"SOT223";"BUK98150-55A/CUF N-Channel MOSFET";"NDT3055";"";"";"";"";"";"";
"Q15";"BUK98150";"BUK98150";"SOT223";"BUK98150-55A/CUF N-Channel MOSFET";"NDT3055";"";"";"";"";"";"";
"Q16";"BUK98150";"BUK98150";"SOT223";"BUK98150-55A/CUF N-Channel MOSFET";"NDT3055";"";"";"";"";"";"";
"Q17";"BUK98150";"BUK98150";"SOT223";"BUK98150-55A/CUF N-Channel MOSFET";"NDT3055";"";"";"";"";"";"";
"Q18";"IRFR9120NTRLPBF";"IRFR9120NTRLPBF";"D-PAK_TO252AA";"IRFR9120NTRLPBF P-CHANNELL MOSFET";"";"";"";"";"";"";"";
"Q19";"IRFR9120NTRLPBF";"IRFR9120NTRLPBF";"D-PAK_TO252AA";"IRFR9120NTRLPBF P-CHANNELL MOSFET";"";"";"";"";"";"";"";
"Q20";"DMP6185SE-13";"DMP6185SE-13";"SOT223";"DMP6185SE-13 P-CHANNEL MOSFET";"";"";"";"";"";"";"";
"Q21";"DMP6185SE-13";"DMP6185SE-13";"SOT223";"DMP6185SE-13 P-CHANNEL MOSFET";"";"";"";"";"";"";"";
"Q22";"BUK98150";"BUK98150";"SOT223";"BUK98150-55A/CUF N-Channel MOSFET";"NDT3055";"";"";"";"";"";"";
"Q23";"BUK98150";"BUK98150";"SOT223";"BUK98150-55A/CUF N-Channel MOSFET";"NDT3055";"";"";"";"";"";"";
"Q24";"IRFR9120NTRLPBF";"IRFR9120NTRLPBF";"D-PAK_TO252AA";"IRFR9120NTRLPBF P-CHANNELL MOSFET";"";"";"";"";"";"";"";
"Q25";"IRFR9120NTRLPBF";"IRFR9120NTRLPBF";"D-PAK_TO252AA";"IRFR9120NTRLPBF P-CHANNELL MOSFET";"";"";"";"";"";"";"";
"Q26";"DMP6185SE-13";"DMP6185SE-13";"SOT223";"DMP6185SE-13 P-CHANNEL MOSFET";"";"";"";"";"";"";"";
"Q27";"DMP6185SE-13";"DMP6185SE-13";"SOT223";"DMP6185SE-13 P-CHANNEL MOSFET";"";"";"";"";"";"";"";
"Q28";"BUK98150";"BUK98150";"SOT223";"BUK98150-55A/CUF N-Channel MOSFET";"NDT3055";"";"";"";"";"";"";
"Q29";"BUK98150";"BUK98150";"SOT223";"BUK98150-55A/CUF N-Channel MOSFET";"NDT3055";"";"";"";"";"";"";
"Q30";"IRFR9120NTRLPBF";"IRFR9120NTRLPBF";"D-PAK_TO252AA";"IRFR9120NTRLPBF P-CHANNELL MOSFET";"";"";"";"";"";"";"";
"Q31";"IRFR9120NTRLPBF";"IRFR9120NTRLPBF";"D-PAK_TO252AA";"IRFR9120NTRLPBF P-CHANNELL MOSFET";"";"";"";"";"";"";"";
"Q32";"DMP6185SE-13";"DMP6185SE-13";"SOT223";"DMP6185SE-13 P-CHANNEL MOSFET";"";"";"";"";"";"";"";
"Q33";"DMP6185SE-13";"DMP6185SE-13";"SOT223";"DMP6185SE-13 P-CHANNEL MOSFET";"";"";"";"";"";"";"";
"Q34";"BUK98150";"BUK98150";"SOT223";"BUK98150-55A/CUF N-Channel MOSFET";"NDT3055";"";"";"";"";"";"";
"Q35";"BUK98150";"BUK98150";"SOT223";"BUK98150-55A/CUF N-Channel MOSFET";"NDT3055";"";"";"";"";"";"";
"Q36";"IRFR9120NTRLPBF";"IRFR9120NTRLPBF";"D-PAK_TO252AA";"IRFR9120NTRLPBF P-CHANNELL MOSFET";"";"";"";"";"";"";"";
"Q37";"IRFR9120NTRLPBF";"IRFR9120NTRLPBF";"D-PAK_TO252AA";"IRFR9120NTRLPBF P-CHANNELL MOSFET";"";"";"";"";"";"";"";
"Q38";"DMP6185SE-13";"DMP6185SE-13";"SOT223";"DMP6185SE-13 P-CHANNEL MOSFET";"";"";"";"";"";"";"";
"Q39";"DMP6185SE-13";"DMP6185SE-13";"SOT223";"DMP6185SE-13 P-CHANNEL MOSFET";"";"";"";"";"";"";"";
"Q40";"BUK98150";"BUK98150";"SOT223";"BUK98150-55A/CUF N-Channel MOSFET";"NDT3055";"";"";"";"";"";"";
"Q41";"BUK98150";"BUK98150";"SOT223";"BUK98150-55A/CUF N-Channel MOSFET";"NDT3055";"";"";"";"";"";"";
